category,phenotype,phe_code,"all_1_year (case_n, noncase_n, hazards ratio, 95% confidence interval (lower), 95% confidence interval (upper), pvalue)","new_1_year (case_n, noncase_n, hazards ratio, 95% confidence interval (lower), 95% confidence interval (upper), pvalue)"
circulatory system,Heart valve replaced,395.6,"[395.6, 19938.0, 522750.0, 5.508950365884558, 4.67581484228541, 6.490533769499323, 5.5701700122912025e+91]","[395.6, 19938.0, 508659.0, 5.668369936238713, 4.811700079674418, 6.677560363701838, 8.619089783584686e+94]"
circulatory system,Abnormal heart sounds,396.0,"[396.0, 4605.0, 524312.0, 2.026349836458664, 1.535824960362149, 2.673542731554404, 1691441.1385583256]","[396.0, 4605.0, 493418.0, 2.1178584429265177, 1.6056176454003224, 2.7935196135421307, 9202797.055844123]"
circulatory system,Essential hypertension,401.1,"[401.1, 219991.0, 504454.0, 51.48094316990607, 48.582686719884656, 54.55209846552905, ' < 2.225E-308']","[401.1, 219991.0, 295266.0, 85.31751494238746, 80.43092690795841, 90.50098806239498, ' < 2.225E-308']"
circulatory system,Hypertensive heart and/or renal disease,401.2,"[401.2, 404.0, 525241.0, 114.81023497629212, 31.524948666283446, 418.125662783685, 1575001906155.374]","[401.2, 404.0, 504854.0, 130.0131345300045, 35.61371815537022, 474.63213687976486, 5757863574345.576]"
circulatory system,Hypertensive heart disease,401.21,"[401.21, 2984.0, 524562.0, 35.63821192601249, 26.240689568794327, 48.4012489821827, 1.3645001872899865e+115]","[401.21, 2984.0, 490479.0, 40.57696225665519, 29.879244802113444, 55.1048019078969, 4.112749769931086e+123]"
circulatory system,Hypertensive chronic kidney disease,401.22,"[401.22, 5141.0, 524857.0, 71.90699906383453, 47.700406704019095, 108.39774483370682, 8.364281756648764e+91]","[401.22, 5141.0, 479908.0, 94.07879398312517, 62.42741725616066, 141.77776154027677, 6.901342208777251e+103]"
circulatory system,Other hypertensive complications,401.3,"[401.3, 13676.0, 524406.0, 43.42431803992736, 32.81931147795271, 57.456153475355926, 6.638696404239769e+152]","[401.3, 13676.0, 508247.0, 46.77749347299038, 35.35260913893601, 61.894551743444886, 6.718698176730552e+158]"
circulatory system,Elevated blood pressure reading without diagnosis of hypertension,402.0,"[402.0, 2463.0, 524806.0, 5.722641104030568, 3.9303803787411993, 8.332176036363368, 1.1125620702868255e+19]","[402.0, 2463.0, 524806.0, 5.722641104030568, 3.9303803787411993, 8.332176036363368, 1.1125620702868255e+19]"
circulatory system,Unstable angina (intermediate coronary syndrome),411.1,"[411.1, 2587.0, 524940.0, 14.338815375956482, 9.269793717376354, 22.179741281660128, 1.8493810056057376e+32]","[411.1, 2587.0, 498296.0, 15.583427185014898, 10.077867524448152, 24.09668535943164, 2.0249915896107452e+34]"
circulatory system,Myocardial infarction,411.2,"[411.2, 11402.0, 523983.0, 82.55724264595385, 65.10154827266446, 104.6933367046318, 4.142979878162382e+289]","[411.2, 11402.0, 488569.0, 93.7129224833418, 73.90574714124925, 118.82853742868454, 4.5481958338119346e+306]"
circulatory system,Angina pectoris,411.3,"[411.3, 4280.0, 524378.0, 19.966081858345916, 15.248554596932824, 26.1430958744349, 2.2558266277229228e+104]","[411.3, 4280.0, 493776.0, 21.60895765983597, 16.51023391909074, 28.28227955054313, 1.6367614855235648e+110]"
circulatory system,Coronary atherosclerosis,411.4,"[411.4, 9914.0, 523512.0, 27.02641151391435, 22.25763237501151, 32.81691902412259, 1.5802679672762438e+242]","[411.4, 9914.0, 475015.0, 31.18114658813876, 25.689164319969787, 37.84723747495344, 3.83118439034237e+264]"
circulatory system,Aneurysm and dissection of heart,411.41,"[411.41, 1521.0, 524901.0, 4.094277003420577, 2.68241486770393, 6.249258599989536, 15541360613.500797]","[411.41, 1521.0, 515072.0, 4.131958030339827, 2.7089060579857245, 6.302572624901174, 22149527749.39743]"
circulatory system,"Other chronic ischemic heart disease, unspecified",411.8,"[411.8, 15580.0, 523604.0, 50.03290335524501, 40.80977748555755, 61.3404819235095, ' < 2.225E-308']","[411.8, 15580.0, 481851.0, 55.9207642932972, 45.63182325013608, 68.52962815017867, ' < 2.225E-308']"
circulatory system,Other acute and subacute forms of ischemic heart disease,411.9,"[411.9, 659.0, 525137.0, 10.12509508864845, 5.209028955454373, 19.68074115749095, 115286373586.56331]","[411.9, 659.0, 519750.0, 10.414935815832315, 5.355803675901283, 20.25296194779827, 200093677651.63528]"
circulatory system,Other forms of chronic heart disease,414.0,"[414.0, 11885.0, 523774.0, 52.1352971229768, 42.039172150681175, 64.6561068414624, 1.352064649436882e+283]","[414.0, 11885.0, 481902.0, 58.193757237768125, 46.94632467468929, 72.1358573842544, 2.0382777272820433e+300]"
circulatory system,Pulmonary heart disease,415.0,"[415.0, 211.0, 525253.0, 21.933801636901023, 5.416458842949597, 88.82032859404835, 66316.98383913132]","[415.0, 211.0, 508898.0, 22.995915530251064, 5.674985595170669, 93.18299090035642, 88922.40058013372]"
circulatory system,Chronic pulmonary heart disease,415.2,"[415.2, 21.0, 525281.0, 37.6942901365822, 1.318495015693039, 1077.6373759395617, 29.522256845138436]","[415.2, 21.0, 519384.0, 39.109354786789424, 1.365841645623573, 1119.852829747814, 31.071522912610238]"
circulatory system,Primary pulmonary hypertension,415.21,"[415.21, 7780.0, 524617.0, 3.6692511363920857, 2.6537561019379923, 5.07333883927107, 268126894381008.62]","[415.21, 7780.0, 503471.0, 4.112241702200587, 2.9724891468285928, 5.689013813678599, 7.353859674479594e+16]"
circulatory system,Cardiomegaly,416.0,"[416.0, 3647.0, 524848.0, 19.944280832093003, 13.526010130937598, 29.408105868527795, 6.7579221842019935e+50]","[416.0, 3647.0, 468727.0, 24.80203968936885, 16.809098579829556, 36.59572640564913, 1.3850764178673858e+58]"
circulatory system,Precordial pain,418.1,"[418.1, 996.0, 525119.0, 50.93704601916538, 26.72073475642423, 97.09997426379825, 1.384064477099669e+32]","[418.1, 996.0, 472546.0, 61.25737848265637, 32.12493376661258, 116.80853401376804, 1.2701460592315427e+35]"
circulatory system,Myocarditis,420.1,"[420.1, 2517.0, 525069.0, 103.10467741978714, 57.20922224527225, 185.81924537030164, 9.02261366091739e+52]","[420.1, 2517.0, 521640.0, 104.2947626027151, 57.88715092380636, 187.9069419165924, 1.8466337284361177e+53]"
circulatory system,Pericarditis,420.2,"[420.2, 14181.0, 524149.0, 17.045120530124468, 13.391587041025234, 21.69542213304598, 5.440401655443983e+116]","[420.2, 14181.0, 496196.0, 18.95916540253086, 14.89835541965845, 24.126820889655196, 5.92820071141704e+125]"
circulatory system,Acute pericarditis,420.21,"[420.21, 956.0, 525195.0, 9.957606897487691, 4.252923993638254, 23.31429747468191, 8404462.446067438]","[420.21, 956.0, 519774.0, 10.154822710079786, 4.338048302744641, 23.77115630729812, 10849751.560669059]"
circulatory system,Chronic pericarditis,420.22,"[420.22, 395.0, 525239.0, 6.588753634862789, 2.0108507646723703, 21.588710223352013, 541.0763787202011]","[420.22, 395.0, 509341.0, 7.027271980988466, 2.144335837836187, 23.02929915335308, 778.9333398627016]"
circulatory system,Endocarditis,420.3,"[420.3, 3320.0, 524966.0, 27.01212775905564, 17.103707960017427, 42.66063521297405, 4.468478130126394e+44]","[420.3, 3320.0, 511182.0, 28.13847109984217, 17.817493547838104, 44.43798751551806, 5.551910217228869e+45]"
circulatory system,Cardiomyopathy,425.0,"[425.0, 2469.0, 525188.0, 22.588367846818315, 9.95070931456066, 51.27618000422948, 10975813821383.896]","[425.0, 2469.0, 515773.0, 23.23396412438324, 10.242106036158605, 52.70567274224305, 19236743427029.652]"
circulatory system,Primary/intrinsic cardiomyopathies,425.1,"[425.1, 47668.0, 520972.0, 20.997586469080225, 18.54808729682787, 23.77057162125305, ' < 2.225E-308']","[425.1, 47668.0, 490616.0, 22.882900274835528, 20.21952722657884, 25.897100318930956, ' < 2.225E-308']"
circulatory system,Hypertrophic obstructive cardiomyopathy,425.11,"[425.11, 2265.0, 524986.0, 9.163683858726376, 5.72469257358663, 14.668578405437684, 3.6561380767140557e+19]","[425.11, 2265.0, 521809.0, 9.266832176055116, 5.789726711020877, 14.832164429403369, 5.765117157403382e+19]"
circulatory system,Other hypertrophic cardiomyopathy,425.12,"[425.12, 4589.0, 524737.0, 9.619189278771133, 6.796959284366087, 13.61326418324354, 4.4756926979224845e+36]","[425.12, 4589.0, 520758.0, 9.70961105649785, 6.861708714133149, 13.739514572264296, 9.377634433005635e+36]"
circulatory system,Secondary/extrinsic cardiomyopathies,425.2,"[425.2, 4685.0, 524974.0, 5.760566092192701, 3.612495312335613, 9.185927962094851, 5225172418703.593]","[425.2, 4685.0, 515700.0, 5.933273818556465, 3.721785416967049, 9.458830712130576, 13765298523426.383]"
circulatory system,Other cardiomyopathy,425.8,"[425.8, 18.0, 525278.0, 103.73462157156298, 5.686655445090899, 1892.302393999426, 578.2730347039736]","[425.8, 18.0, 524396.0, 103.95142597678036, 5.699917520364858, 1895.7991802510064, 581.5736781235745]"
circulatory system,Cardiac conduction disorders,426.0,"[426.0, 16742.0, 524025.0, 0.1250512077228915, 0.091431131607575, 0.1710336980195284, 9.677828533812123e+37]","[426.0, 16742.0, 517380.0, 0.126394723148092, 0.0924241441248742, 0.172851219678033, 4.301467687362714e+37]"
circulatory system,First degree AV block,426.21,"[426.21, 934.0, 525131.0, 5.471444128128497, 2.823901755214997, 10.601183554614344, 2105589.1854076306]","[426.21, 934.0, 514654.0, 5.609629668518835, 2.896100940960262, 10.865624389284196, 3144285.0023222277]"
circulatory system,Second degree AV block,426.23,"[426.23, 4086.0, 524770.0, 0.5535675130406391, 0.3625107925347994, 0.8453182575649293, 161.76483117293898]","[426.23, 4086.0, 518831.0, 0.5564110051989314, 0.3644977306854228, 0.8493693667840075, 151.54935469555045]"
circulatory system,"Atrioventricular block, complete",426.24,"[426.24, 11328.0, 523793.0, 0.4452803270579992, 0.3453353206199938, 0.5741508552004145, 2261179534.004479]","[426.24, 11328.0, 513955.0, 0.4516017936306132, 0.3503828574973059, 0.5820609531730732, 1209028850.4632947]"
circulatory system,Other heart block,426.25,"[426.25, 474.0, 525220.0, 2.8711830669997607, 1.0123059493471878, 8.143478964578163, 21.10950571049447]","[426.25, 474.0, 523417.0, 2.877728989331068, 1.014793211440221, 8.160602616057451, 21.34086298334822]"
circulatory system,Bundle branch block,426.3,"[426.3, 635.0, 525145.0, 7.023924685459759, 3.5417486063452635, 13.929706331675638, 41565102.06229325]","[426.3, 635.0, 520897.0, 7.080921779135754, 3.570643713729985, 14.04213280911808, 47587724.51911651]"
circulatory system,Left bundle branch block,426.32,"[426.32, 4606.0, 524606.0, 9.515468700339367, 6.965387418333686, 12.999154124408903, 5.688572103358599e+44]","[426.32, 4606.0, 503852.0, 10.12768607134312, 7.412966092165599, 13.836570123810317, 1.532857601262475e+47]"
circulatory system,Anomalous atrioventricular excitation,426.4,"[426.4, 430.0, 525204.0, 2.1983612633894065, 0.8495959591908262, 5.688341843073176, 9.579528859334376]","[426.4, 430.0, 524382.0, 2.202190614320517, 0.8509763404979408, 5.698916962795528, 9.646164004862577]"
circulatory system,Cardiac pacemaker/device in situ,426.9,"[426.9, 101.0, 525264.0, 1.6409060723287363, 0.2593290582061628, 10.382842388857036, 1.6700219427360348]","[426.9, 101.0, 525264.0, 1.6409060723287363, 0.2593290582061628, 10.382842388857036, 1.6700219427360348]"
circulatory system,Cardiac pacemaker in situ,426.91,"[426.91, 42748.0, 519928.0, 0.7714906484493659, 0.6789800502110845, 0.8766057566194841, 14557.637974414465]","[426.91, 42748.0, 519928.0, 0.7714906484493659, 0.6789800502110844, 0.8766057566194841, 14557.637974414305]"
circulatory system,"Paroxysmal tachycardia, unspecified",427.1,"[427.1, 492.0, 525258.0, 2.409490221629802, 0.4882739074515468, 11.890135924794931, 3.568282111102874]","[427.1, 492.0, 520913.0, 2.431435994145264, 0.4928612730071713, 11.995020338185808, 3.63329133851047]"
circulatory system,Paroxysmal supraventricular tachycardia,427.11,"[427.11, 14076.0, 524051.0, 8.024557083595806, 6.359292878728591, 10.125892550613548, 1.6429543135251478e+68]","[427.11, 14076.0, 507425.0, 8.276588626008643, 6.559865714849115, 10.44257950724701, 1.991597413039793e+70]"
circulatory system,Paroxysmal ventricular tachycardia,427.12,"[427.12, 93830.0, 518691.0, 0.4877628099253643, 0.4325617040921391, 0.5500083722058062, 9.445181024048358e+30]","[427.12, 93830.0, 502783.0, 0.5183032488321452, 0.459651698219596, 0.5844387365270131, 1.298524228973329e+26]"
circulatory system,Other specified cardiac dysrhythmias,427.3,"[427.3, 12221.0, 523847.0, 27.649063811499104, 22.283389972320983, 34.306751827344335, 1.135383916192444e+199]","[427.3, 12221.0, 452857.0, 31.94731813239716, 25.748621530202666, 39.63828256419127, 5.3168319485995736e+216]"
circulatory system,Cardiac arrest,427.42,"[427.42, 3303.0, 524954.0, 28.350661643526998, 18.090684471109952, 44.42949723153499, 3.1553081265921223e+47]","[427.42, 3303.0, 519837.0, 28.9409792086078, 18.4684592719286, 45.351930294811375, 1.2177533155735715e+48]"
circulatory system,Arrhythmia (cardiac) NOS,427.5,"[427.5, 3759.0, 524817.0, 3.750452914482865, 2.546199797824288, 5.5242707488125005, 44779701022.35926]","[427.5, 3759.0, 469053.0, 4.204908058918912, 2.8551967942733905, 6.192656078706777, 2819298557463.8633]"
circulatory system,Premature beats,427.6,"[427.6, 8421.0, 524391.0, 3.88513864475623, 2.938305575004523, 5.137077102321136, 5.936261085684066e+20]","[427.6, 8421.0, 513142.0, 3.958404215450568, 2.994343805624858, 5.2328539907350535, 2.2696317871769122e+21]"
circulatory system,Supraventricular premature beats,427.61,"[427.61, 1378.0, 525062.0, 4.639233550782544, 2.667683189370977, 8.067857541877482, 18298402.374673225]","[427.61, 1378.0, 521402.0, 4.642738656423291, 2.6702023608082017, 8.072430220353409, 18769424.494199555]"
circulatory system,Tachycardia NOS,427.7,"[427.7, 22744.0, 523178.0, 146.77398474517045, 120.86727830970828, 178.23353763931976, ' < 2.225E-308']","[427.7, 22744.0, 465697.0, 174.61566193905614, 143.75583986939836, 212.1001096172188, ' < 2.225E-308']"
circulatory system,Sinoatrial node dysfunction (Bradycardia),427.8,"[427.8, 35294.0, 521631.0, 0.2933281823828563, 0.2476816205530808, 0.3473871916208278, 1.2839147628040782e+45]","[427.8, 35294.0, 510186.0, 0.2959743125760334, 0.2499820482785609, 0.3504283379870538, 3.995284851183867e+44]"
circulatory system,Palpitations,427.9,"[427.9, 41498.0, 520461.0, 26.69982324767489, 23.73474881268061, 30.03531097309168, ' < 2.225E-308']","[427.9, 41498.0, 439477.0, 29.7414896313184, 26.43959664040828, 33.455737525811244, ' < 2.225E-308']"
circulatory system,Heart failure NOS,428.2,"[428.2, 30762.0, 522114.0, 187.61628414820632, 159.6185133327814, 220.52498386696465, ' < 2.225E-308']","[428.2, 30762.0, 472004.0, 230.21552136958525, 195.9051605836381, 270.53491659727325, ' < 2.225E-308']"
circulatory system,Heart transplant/surgery,429.1,"[429.1, 158223.0, 519158.0, 245.38338027604271, 217.87151425398352, 276.36932492929634, ' < 2.225E-308']","[429.1, 158223.0, 500710.0, 269.91806641986113, 239.76985509179508, 303.8570572265808, ' < 2.225E-308']"
circulatory system,Intracranial hemorrhage,430.0,"[430.0, 865.0, 525196.0, 40.96461535164402, 17.183478501217408, 97.65774204502654, 1.8269517495196764e+16]","[430.0, 865.0, 520813.0, 41.34539901505936, 17.33870347307551, 98.59110990443932, 2.1356602276510468e+16]"
circulatory system,Subarachnoid hemorrhage,430.1,"[430.1, 1540.0, 525109.0, 6.921387752196007, 3.740501248043777, 12.80726973191167, 1387916989.0281372]","[430.1, 1540.0, 522471.0, 6.958818400466271, 3.760878231117574, 12.876022714587608, 1551084420.6930776]"
circulatory system,Intracerebral hemorrhage,430.2,"[430.2, 2233.0, 525028.0, 10.048206541778672, 6.060548943677955, 16.659622031691796, 2.6824305889009874e+18]","[430.2, 2233.0, 520235.0, 10.128637576083042, 6.108545379246549, 16.794390935718173, 3.502294155924794e+18]"
circulatory system,Cerebrovascular disease,433.0,"[433.0, 6266.0, 524813.0, 0.2312549471234556, 0.1430230443340164, 0.3739177194702807, 427841399.10416776]","[433.0, 6266.0, 507279.0, 0.2404268599316272, 0.1487137662498174, 0.3887002288643423, 165194200.39524058]"
circulatory system,Occlusion and stenosis of precerebral arteries,433.1,"[433.1, 71.0, 525272.0, 16.491583484756035, 2.0193381767345358, 134.68389245950053, 112.35088692675657]","[433.1, 71.0, 487543.0, 17.59038001212926, 2.1579297529769508, 143.3881100829428, 135.19661739543702]"
circulatory system,Cerebral atherosclerosis,433.12,"[433.12, 161.0, 525261.0, 5.388129218658913, 1.0593857294657, 27.404500239594636, 23.579678880526167]","[433.12, 161.0, 518694.0, 5.498702768778163, 1.0802748882413475, 27.988924364049065, 24.952586093097697]"
circulatory system,Occlusion of cerebral arteries,433.2,"[433.2, 44309.0, 521789.0, 3.2034059735214693, 2.7759301383647266, 3.696710406854175, 2.6018851830691955e+56]","[433.2, 44309.0, 486735.0, 3.462721291947171, 3.000332707010538, 3.996369708495189, 9.312734598359024e+63]"
circulatory system,"Cerebral artery occlusion, with cerebral infarction",433.21,"[433.21, 10.0, 525284.0, 114.07951100591616, 0.7310120717385701, 17802.90002653083, 15.149501594558954]","[433.21, 10.0, 488991.0, 125.64373047462476, 0.7917445503675399, 19938.687295355416, 16.251113537883676]"
circulatory system,Transient cerebral ischemia,433.31,"[433.31, 5645.0, 524492.0, 1.9024590600169269, 1.3966933624556306, 2.591370856575877, 22100.82669823283]","[433.31, 5645.0, 505048.0, 1.9571388415316449, 1.4368329693456572, 2.6658578462159133, 48609.264035160675]"
circulatory system,Moyamoya disease,433.32,"[433.32, 574.0, 525205.0, 3.616907099271685, 1.4306837226910334, 9.143891663319826, 151.71992121454295]","[433.32, 574.0, 524834.0, 3.618087309839904, 1.4311420901250684, 9.146929485164229, 152.02834774190308]"
circulatory system,Cerebral aneurysm,433.5,"[433.5, 4994.0, 524727.0, 0.387676100030167, 0.2548535268437947, 0.5897221058538376, 104873.3137156791]","[433.5, 4994.0, 515538.0, 0.3944537036858805, 0.2593025257231658, 0.6000470836817917, 72197.50382249443]"
circulatory system,Atherosclerosis,440.0,"[440.0, 199.0, 525270.0, 0.259229779888858, 0.0210462160876895, 3.1929767565454568, 3.424839211771931]","[440.0, 199.0, 517319.0, 0.2655534675688831, 0.0215355950860225, 3.274515696277516, 3.323368788671177]"
circulatory system,Atherosclerosis of renal artery,440.1,"[440.1, 4405.0, 525012.0, 12.505475652605412, 7.653135015310796, 20.43436068814158, 1.5199850369171347e+23]","[440.1, 4405.0, 519954.0, 12.80453757872446, 7.837458359118892, 20.91956028247393, 4.132124125686607e+23]"
circulatory system,Atherosclerosis of aorta,440.9,"[440.9, 794.0, 525171.0, 3.328098868831593, 1.5236536949355557, 7.269527266946713, 390.9039222432855]","[440.9, 794.0, 502203.0, 3.557016933559337, 1.6282996579182107, 7.770295476082079, 685.7384702523965]"
circulatory system,Vascular insufficiency of intestine,441.0,"[441.0, 258.0, 525236.0, 4.704703438297625, 1.4663288639408918, 15.095000164452696, 108.3594867742812]","[441.0, 258.0, 523819.0, 4.715284710373842, 1.4697486326880629, 15.127695583714294, 109.62010179669309]"
circulatory system,Chronic vascular insufficiency of intestine,441.2,"[441.2, 502.0, 525233.0, 1.5315101856116162, 0.4592633303767483, 5.107142881858257, 2.049638667724702]","[441.2, 502.0, 524468.0, 1.5360756839665315, 0.4606354125485533, 5.122334155376171, 2.0624717372118275]"
circulatory system,Other aneurysm,442.0,"[442.0, 1771.0, 525069.0, 2.2425595263348144, 1.250642180390508, 4.021192718435836, 148.90850532107447]","[442.0, 1771.0, 515614.0, 2.282336492233023, 1.272684006315614, 4.092971890845575, 177.90826157839396]"
circulatory system,Aortic aneurysm,442.1,"[442.1, 7844.0, 523748.0, 3.873438251743064, 3.1312802514657028, 4.79149826434202, 1.015521566062033e+35]","[442.1, 7844.0, 511271.0, 3.93961213466329, 3.1853634578749066, 4.872456150401335, 8.391859031611327e+35]"
circulatory system,Abdominal aortic aneurysm,442.11,"[442.11, 4722.0, 524562.0, 1.7581509644275135, 1.270895753470944, 2.432217438192949, 1526.368634487174]","[442.11, 4722.0, 519598.0, 1.7756433098645028, 1.2836357467491797, 2.456233531865516, 1909.0856906385793]"
circulatory system,Aneurysm of iliac artery,442.2,"[442.2, 936.0, 525183.0, 0.8536663329919112, 0.3454151695411611, 2.109768974686029, 1.3664838296075745]","[442.2, 936.0, 522720.0, 0.8552416326501421, 0.3460612853779573, 2.113609008355924, 1.3609054360442692]"
circulatory system,Aneurysm of artery of lower extremity,442.3,"[442.3, 599.0, 525209.0, 0.9974095730907484, 0.3536129268375227, 2.813318691118351, 1.0039270061900816]","[442.3, 599.0, 523477.0, 1.0020841104880434, 0.3552483060166312, 2.8266779812472973, 1.003149444912523]"
circulatory system,Aneurysm of other specified artery,442.8,"[442.8, 1528.0, 525111.0, 2.377746918993153, 1.2438771169779628, 4.545208150880064, 113.76758864656047]","[442.8, 1528.0, 521513.0, 2.40095581419418, 1.2560404492661523, 4.589492977778564, 124.08067583760888]"
circulatory system,Peripheral angiopathy in diseases classified elsewhere,443.7,"[443.7, 27.0, 525282.0, 19.863848044012265, 0.5295349248870577, 745.1301898543645, 9.429246423069175]","[443.7, 27.0, 516375.0, 20.573252004580677, 0.5488784351802777, 771.1337719161156, 9.809700433212925]"
circulatory system,"Peripheral vascular disease, unspecified",443.9,"[443.9, 39110.0, 521135.0, 3.906508413686385, 3.430550918267344, 4.448500648959975, 1.4781037956350912e+93]","[443.9, 39110.0, 488948.0, 4.392616826637699, 3.857655951801922, 5.001763461214798, 5.9772151939004724e+109]"
circulatory system,Arterial embolism and thrombosis,444.0,"[444.0, 964.0, 525184.0, 9.445250192197625, 4.222489623261906, 21.12799773425889, 21803512.710534032]","[444.0, 964.0, 521037.0, 9.559976084958448, 4.273608417215399, 21.385474246264117, 25705354.387755487]"
circulatory system,Arterial embolism and thrombosis of lower extremity artery,444.1,"[444.1, 367.0, 525240.0, 4.448619223859211, 1.3171951104525277, 15.024511434825117, 61.601880079133196]","[444.1, 367.0, 523236.0, 4.482178416986976, 1.326882048801536, 15.140700245247464, 63.614164110049025]"
circulatory system,Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease),446.2,"[446.2, 366.0, 525179.0, 817.5951359381512, 297.5411536595186, 2246.619662820344, 8.568629657280337e+37]","[446.2, 366.0, 524916.0, 818.254717057926, 297.8004406661147, 2248.2867402409806, 8.841367704359915e+37]"
circulatory system,Hypersensitivity angiitis,446.3,"[446.3, 146.0, 525271.0, 0.8709891095032344, 0.0868872495088616, 8.731108800904844, 1.1031385817068922]","[446.3, 146.0, 522739.0, 0.8762389179912875, 0.0873802129009462, 8.78682502493912, 1.0982154157826747]"
circulatory system,Wegener's granulomatosis,446.4,"[446.4, 254.0, 525255.0, 274.63176162959104, 52.111319297807455, 1447.336308350686, 28213789370.12807]","[446.4, 254.0, 524630.0, 275.5322755699348, 52.2805420612572, 1452.127921546667, 28936073608.27646]"
circulatory system,Giant cell arteritis,446.5,"[446.5, 607.0, 525201.0, 2.5585185210750416, 1.016098048906339, 6.442308426563479, 21.66025762490677]","[446.5, 607.0, 523747.0, 2.5677173033651366, 1.0198252265633685, 6.465002020217288, 22.06325960433381]"
circulatory system,Takayasu's disease,446.7,"[446.7, 2374.0, 525187.0, 0.3391722705995206, 0.1236286310431817, 0.9305112268326692, 27.977046314709952]","[446.7, 2374.0, 524866.0, 0.3390984019021216, 0.1236029146399999, 0.9302994715576138, 28.007602902825102]"
circulatory system,Thrombotic microangiopathy,446.8,"[446.8, 2056.0, 525192.0, 57.76601479473582, 24.362160665036185, 136.9711213691596, 3.0257589652470706e+19]","[446.8, 2056.0, 523829.0, 58.21632698506454, 24.554383240702304, 138.02589518982427, 3.59985908098427e+19]"
circulatory system,Arteritis NOS,446.9,"[446.9, 2514.0, 525057.0, 3.5171398213454, 2.017029698660302, 6.132915410769512, 107695.73548876462]","[446.9, 2514.0, 521768.0, 3.5379479205424698, 2.0288962625949583, 6.169401422456882, 118483.61939498028]"
circulatory system,Other disorders of arteries and arterioles,447.0,"[447.0, 6012.0, 524466.0, 5.112623755203228, 3.831518646647582, 6.822078677638387, 6.902905965033857e+27]","[447.0, 6012.0, 507585.0, 5.37279341574981, 4.027363088385861, 7.16769470613939, 3.492777479085529e+29]"
circulatory system,Stricture of artery,447.1,"[447.1, 1779.0, 525132.0, 0.69301784604788, 0.3249941421891286, 1.4777919740514902, 2.9191892234786456]","[447.1, 1779.0, 509712.0, 0.7259861644298126, 0.3401970395945851, 1.549266600237341, 2.452957741859985]"
